 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  23. 4.    Time:  14:22:42
 Units: L = cm   , T = days , M = 5    


 Time:        0.0010


 Node      Depth      Head Moisture       K          C         Flux        Sink         Kappa   v/KsTop   Temp   Conc(1..NS) Sorb(1...NS)
           [L]        [L]    [-]        [L/T]      [1/L]      [L/T]        [1/T]         [-]      [-]      [C]      [M/L*3]

  38   -74.0000       0.128 0.3880   0.6283E-01  0.8830E-04 -0.6485E-01  0.0000E+00      -1  -0.893E+00   20.00  0.3775E-03  0.0000E+00
  39   -76.0000       0.078 0.3879   0.6258E-01  0.9143E-04 -0.6388E-01  0.0000E+00      -1  -0.879E+00   20.00  0.3952E-03  0.0000E+00
  40   -78.0000       0.046 0.3879   0.6244E-01  0.9307E-04 -0.6326E-01  0.0000E+00      -1  -0.871E+00   20.00  0.4134E-03  0.0000E+00
  41   -80.0000       0.026 0.3879   0.6238E-01  0.9388E-04 -0.6287E-01  0.0000E+00      -1  -0.866E+00   20.00  0.4320E-03  0.0000E+00
  42   -82.0000       0.015 0.3879   0.6234E-01  0.9441E-04 -0.6262E-01  0.0000E+00      -1  -0.862E+00   20.00  0.4512E-03  0.0000E+00
  43   -84.0000       0.009 0.3879   0.6230E-01  0.9486E-04 -0.6245E-01  0.0000E+00      -1  -0.860E+00   20.00  0.4709E-03  0.0000E+00
  44   -86.0000       0.005 0.3879   0.6225E-01  0.9546E-04 -0.6233E-01  0.0000E+00      -1  -0.858E+00   20.00  0.4910E-03  0.0000E+00
  45   -88.0000       0.003 0.3879   0.6217E-01  0.9647E-04 -0.6222E-01  0.0000E+00      -1  -0.857E+00   20.00  0.5115E-03  0.0000E+00
  46   -90.0000       0.001 0.3879   0.6203E-01  0.9828E-04 -0.6211E-01  0.0000E+00      -1  -0.855E+00   20.00  0.5326E-03  0.0000E+00
  47   -92.0000      -0.005 0.3879   0.6174E-01  0.1018E-03 -0.6199E-01  0.0000E+00      -1  -0.853E+00   20.00  0.5540E-03  0.0000E+00
  48   -94.0000      -0.018 0.3879   0.6125E-01  0.1080E-03 -0.6185E-01  0.0000E+00      -1  -0.852E+00   20.00  0.5759E-03  0.0000E+00
  49   -96.0000      -0.050 0.3879   0.6038E-01  0.1190E-03 -0.6173E-01  0.0000E+00      -1  -0.850E+00   20.00  0.5983E-03  0.0000E+00
  50   -98.0000      -0.117 0.3879   0.5895E-01  0.1373E-03 -0.6167E-01  0.0000E+00      -1  -0.849E+00   20.00  0.6210E-03  0.0000E+00
  51  -100.0000      -0.249 0.3879   0.5677E-01  0.1655E-03 -0.6188E-01  0.0000E+00      -1  -0.852E+00   20.00  0.6439E-03  0.0000E+00
  52  -102.0000      -0.308 0.3885   0.6385E-01  0.1620E-03 -0.6235E-01  0.0000E+00      -1  -0.858E+00   20.00  0.6668E-03  0.0000E+00
  53  -104.0000      -0.275 0.3885   0.6347E-01  0.1665E-03 -0.6283E-01  0.0000E+00      -1  -0.865E+00   20.00  0.6888E-03  0.0000E+00
  54  -106.0000      -0.263 0.3885   0.6338E-01  0.1676E-03 -0.6317E-01  0.0000E+00      -1  -0.870E+00   20.00  0.7102E-03  0.0000E+00
  55  -108.0000      -0.254 0.3885   0.6380E-01  0.1626E-03 -0.6360E-01  0.0000E+00      -1  -0.876E+00   20.00  0.7311E-03  0.0000E+00
  56  -110.0000      -0.247 0.3885   0.6445E-01  0.1550E-03 -0.6425E-01  0.0000E+00      -1  -0.885E+00   20.00  0.7515E-03  0.0000E+00
